District Name,SPED_ENR_N,TOTAL_ENR,SPED_PROP,PS_RCGT80_%,PS_RC4079_%,PS_RCL40_%,PS_SSOS_%,PS_PSS_%,PS_MUK_%,RB,RB_PROP,RI,RI_PROP,RA,RA_PROP,RF,RF_PROP,RH,RH_PROP,RD,RD_PROP,RP,RP_PROP,RT,RT_PROP,RW,RW_PROP,state,urban code,city,Cluster
bonita unified,1289.0,9957.0,0.1294566636537109,51.1,23.2,15.5,1.7,8.5,0,51,0.0395655546935609,0,0.0,49,0.0380139643134212,28,0.021722265321955,828,0.6423584173778123,39,0.030256012412723,0,0.0,55,0.0426687354538401,237,0.1838634600465477,CA,21,SAN DIMAS,1
brea-olinda unified,747.0,5895.0,0.1267175572519084,51.1,32.9,13.1,0.9,1.9,0,22,0.0294511378848728,0,0.0,99,0.1325301204819277,22,0.0294511378848728,376,0.5033467202141901,0,0.0,0,0.0,30,0.0401606425702811,189,0.253012048192771,CA,21,BREA,2
buckeye union elementary,1208.0,10189.0,0.1185592305427421,80.7,15.5,2.1,0.5,1.2,0,15,0.0124172185430463,0,0.0,41,0.0339403973509933,12,0.009933774834437,240,0.1986754966887417,23,0.0190397350993377,0,0.0,104,0.086092715231788,764,0.6324503311258278,CA,41,SHINGLE SPRINGS,0
buena park elementary,618.0,3784.0,0.1633192389006342,53.4,10.0,23.5,1.5,11.7,0,28,0.0453074433656957,0,0.0,46,0.0744336569579288,24,0.0388349514563106,465,0.7524271844660194,0,0.0,0,0.0,15,0.0242718446601941,26,0.0420711974110032,CA,21,BUENA PARK,1
burbank unified,1988.0,14240.0,0.1396067415730337,49.6,27.6,14.2,1.7,6.8,0,62,0.0311871227364185,0,0.0,66,0.0331991951710261,57,0.0286720321931589,923,0.4642857142857143,52,0.0261569416498993,0,0.0,104,0.0523138832997987,719,0.3616700201207243,CA,12,BURBANK,2
byron union elementary,307.0,2188.0,0.1403107861060329,79.5,9.4,5.5,1.0,4.6,0,23,0.0749185667752443,0,0.0,0,0.0,0,0.0,101,0.3289902280130293,0,0.0,0,0.0,34,0.1107491856677524,126,0.4104234527687296,CA,41,BYRON,0
campbell union high,1118.0,8613.0,0.1298037849761987,52.2,35.2,9.4,3.1,0.0,0,33,0.0295169946332737,0,0.0,84,0.0751341681574239,13,0.0116279069767441,593,0.5304114490161002,16,0.0143112701252236,0,0.0,57,0.0509838998211091,309,0.276386404293381,CA,11,SAN JOSE,2
capistrano unified,7331.0,48326.0,0.1516988784505235,61.4,18.0,13.4,1.6,5.5,0,155,0.0211430909834947,13,0.0017732915018414,216,0.0294639203382894,82,0.0111853771654617,2598,0.3543854862910926,661,0.0901650525167098,0,0.0,418,0.0570181421361342,3181,0.4339107897967535,CA,21,SAN JUAN CAPISTRANO,1
castro valley unified,1091.0,9489.0,0.1149752344820318,58.5,14.4,19.8,1.7,5.6,0,78,0.071494042163153,0,0.0,210,0.1924839596700275,37,0.0339138405132905,383,0.3510540788267644,38,0.0348304307974335,0,0.0,100,0.0916590284142988,241,0.2208982584784601,CA,21,CASTRO VALLEY,1
ceres unified,1636.0,14254.0,0.1147748000561246,58.9,16.4,16.1,1.8,6.8,0,30,0.0183374083129584,0,0.0,53,0.0323960880195599,0,0.0,1265,0.7732273838630807,0,0.0,0,0.0,28,0.0171149144254278,236,0.1442542787286063,CA,21,CERES,1
chaffey joint union high,3171.0,22628.0,0.1401361145483471,56.8,23.7,15.9,3.6,0.0,0,340,0.1072216966256701,18,0.0056764427625354,83,0.0261747082939135,28,0.0088300220750551,2204,0.6950488804793441,32,0.010091453800063,0,0.0,78,0.0245979186376537,378,0.119205298013245,CA,21,ONTARIO,2
chico unified,2302.0,14407.0,0.1597834386062331,53.2,26.0,11.2,0.2,9.4,0,77,0.0334491746307558,37,0.0160729800173761,69,0.0299739357080799,0,0.0,721,0.3132059079061685,72,0.0312771503040834,0,0.0,163,0.0708079930495221,1151,0.5,CA,13,CHICO,1
chino valley unified,3407.0,26473.0,0.1286971631473576,59.3,15.3,20.2,1.6,3.7,0,186,0.0545934840035221,0,0.0,260,0.0763134722629879,127,0.037276196066921,2262,0.6639272086879953,51,0.0149691810977399,0,0.0,119,0.0349280892280598,383,0.1124156149104784,CA,21,CHINO,1
chula vista elementary,4429.0,28964.0,0.1529139621599226,54.3,7.5,26.9,0.3,11.0,0,189,0.0426732896816437,0,0.0,44,0.0099345224655678,310,0.0699932264619553,3329,0.7516369383608038,0,0.0,16,0.0036125536238428,199,0.0449311356965455,327,0.0738315646872883,CA,21,CHULA VISTA,1
